Michael|iphone6|2020/8/13 20:34:32|42|22:21:26|95|53|1:46:54
michael|tablet|2020/8/10 4:22:48|42|6:3:4|93|51|1:40:16
michael|iphone6|2020/8/10 4:22:48|44|7:20:24|90|46|2:57:36
michael|tablet|2020/8/11 6:53:54|40|8:24:2|87|47|1:30:8
michael|iphone6|2020/8/11 6:53:54|45|9:31:33|94|49|2:37:39
michael|iphone6|2020/8/12 3:6:42|47|6:0:35|100|53|2:53:53
michael|tablet|2020/8/12 7:19:50|38|10:4:10|100|62|2:44:20
Michael|tablet|2020/8/13 20:34:32|44|22:20:55|85|41|1:46:23
Michael|iPad2|2020/8/14 10:30:13|22|14:17:13|86|64|3:47:0
michael|iphone6|2020/8/15 13:18:15|26|15:8:4|95|69|1:49:49
michael|iphone6|2020/8/16 11:39:30|26|13:19:38|94|68|1:40:8
michael|iphone6|2020/8/17 12:42:55|44|13:49:16|89|45|1:6:21
michael|iphone6|2020/8/18 9:12:57|10|false|11:31:53|96|86|2:18:56
michael|iphone6|2020/8/19 9:18:45|31|false|10:21:29|83|52|1:2:44
michael|iPad2|2020/8/19 9:18:45|40|false|14:8:30|99|59|4:49:45
michael|tablet|2020/8/19 10:18:54|38|false|13:36:52|100|62|3:17:58
michael|iphone6|2020/8/20 17:21:19|35|false|18:57:3|90|55|1:35:44
michael|iphone6|2020/8/21 10:32:51|43|false|13:25:22|100|57|2:52:31
michael|tablet|2020/8/21 10:32:51|38|false|16:8:17|100|62|5:35:26
michael|tablet|2020/8/23 22:23:14|34|false|23:55:51|81|47|1:32:37
michael|iphone6|2020/8/24 7:27:10|37|false|10:8:21|100|63|2:41:11
michael|iPad2|2020/8/24 11:0:2|21|false|14:19:4|80|59|3:19:2
michael|tablet|2020/8/24 21:24:17|29|false|23:30:24|92|63|2:6:7
michael|iphone6|2020/8/25 7:31:33|28|false|10:18:20|94|66|2:46:47
michael|tablet|2020/8/25 21:40:39|42|true|23:54:32|100|58|2:13:52
michael|iphone6|2020/8/26 7:31:43|25|true|10:4:25|95|70|2:32:42
michael|iphone6|2020/8/26 18:48:46|45|false|23:0:31|100|55|4:11:44
michael|ipad2|2020/8/27 12:39:37|47|false
michael|tablet|2020/8/27 14:28:30|40|true|16:16:33|95|55|1:48:3
